Time.Control;Time.Treatment;Actions.Control;Actions.Treatment;Scores.Control;Scores.Treatment;jacknife.time.control.g1a.removed;jacknife.time.treatment.g1a.removed;jacknife.actions.control.g1a.removed;jacknife.actions.treatment.g1a.removed;jacknife.score.control.g1a.removed;jacknife.score.treatment.g1a.removed;jacknife.time.control.g2a.removed;jacknife.time.treatment.g2a.removed;jacknife.actions.control.g2a.removed;jacknife.actions.treatment.g2a.removed;jacknife.score.control.g2a.removed;jacknife.score.treatment.g2a.removed;jacknife.time.control.g1b.removed;jacknife.time.treatment.g1b.removed;jacknife.actions.control.g1b.removed;jacknife.actions.treatment.g1b.removed;jacknife.score.control.g1b.removed;jacknife.score.treatment.g1b.removed;jacknife.time.control.g2b.removed;jacknife.time.treatment.g2b.removed;jacknife.actions.control.g2b.removed;jacknife.actions.treatment.g2b.removed;jacknife.score.control.g2b.removed;jacknife.score.treatment.g2b.removed;jacknife.time.control.g3a.removed;jacknife.time.treatment.g3a.removed;jacknife.actions.control.g3a.removed;jacknife.actions.treatment.g3a.removed;jacknife.score.control.g3a.removed;jacknife.score.treatment.g3a.removed;jacknife.time.control.g3b.removed;jacknife.time.treatment.g3b.removed;jacknife.actions.control.g3b.removed;jacknife.actions.treatment.g3b.removed;jacknife.score.control.g3b.removed;jacknife.score.treatment.g3b.removed;jacknife.time.control.g4a.removed;jacknife.time.treatment.g4a.removed;jacknife.actions.control.g4a.removed;jacknife.actions.treatment.g4a.removed;jacknife.score.control.g4a.removed;jacknife.score.treatment.g4a.removed;jacknife.time.control.g4b.removed;jacknife.time.treatment.g4b.removed;jacknife.actions.control.g4b.removed;jacknife.actions.treatment.g4b.removed;jacknife.score.control.g4b.removed;jacknife.score.treatment.g4b.removed;
13.39;21.22;1.0;29.0;2;5;13.39;21.22;1.0;29.0;1;1;13.39;21.22;1.0;29.0;1;1;38.989999999999995;41.71;206.0;62.0;1;5;13.39;21.22;1.0;29.0;1;1;13.39;21.22;1.0;29.0;1;1;13.39;21.22;1.0;29.0;1;1;13.39;21.22;1.0;29.0;1;1;13.39;21.22;1.0;29.0;1;1;
38.989999999999995;41.71;206.0;62.0;0;1;38.989999999999995;41.71;206.0;62.0;1;5;38.989999999999995;41.71;206.0;62.0;1;5;41.35000000000001;29.879999999999995;296.0;66.0;1;3;38.989999999999995;41.71;206.0;62.0;1;5;41.35000000000001;29.879999999999995;296.0;66.0;1;3;38.989999999999995;41.71;206.0;62.0;1;5;38.989999999999995;41.71;206.0;62.0;1;5;38.989999999999995;41.71;206.0;62.0;1;5;
41.35000000000001;29.879999999999995;296.0;66.0;3;5;14.07;21.349999999999998;7.0;105.0;0;1;41.35000000000001;29.879999999999995;296.0;66.0;1;3;168.64999999999998;55.39;19.0;101.0;1;3;41.35000000000001;29.879999999999995;296.0;66.0;1;3;14.07;21.349999999999998;7.0;105.0;0;1;41.35000000000001;29.879999999999995;296.0;66.0;1;3;41.35000000000001;29.879999999999995;296.0;66.0;1;3;41.35000000000001;29.879999999999995;296.0;66.0;1;3;
14.07;21.349999999999998;7.0;105.0;2;5;50.35000000000001;27.520000000000003;62.0;44.0;2;3;14.07;21.349999999999998;7.0;105.0;0;1;87.52;24.07;82.0;112.0;2;5;14.07;21.349999999999998;7.0;105.0;0;1;50.35000000000001;27.520000000000003;62.0;44.0;2;3;14.07;21.349999999999998;7.0;105.0;0;1;14.07;21.349999999999998;7.0;105.0;0;1;14.07;21.349999999999998;7.0;105.0;0;1;
50.35000000000001;27.520000000000003;62.0;44.0;1;2;168.64999999999998;55.39;19.0;101.0;1;3;50.35000000000001;27.520000000000003;62.0;44.0;2;3;52.25;33.95;432.0;83.0;3;4;50.35000000000001;27.520000000000003;62.0;44.0;2;3;168.64999999999998;55.39;19.0;101.0;1;3;50.35000000000001;27.520000000000003;62.0;44.0;2;3;50.35000000000001;27.520000000000003;62.0;44.0;2;3;50.35000000000001;27.520000000000003;62.0;44.0;2;3;
168.64999999999998;55.39;19.0;101.0;1;5;52.25;33.95;432.0;83.0;3;4;168.64999999999998;55.39;19.0;101.0;1;3;75.49;30.509999999999998;314.0;41.0;1;2;168.64999999999998;55.39;19.0;101.0;1;3;87.52;24.07;82.0;112.0;2;5;87.52;24.07;82.0;112.0;2;5;168.64999999999998;55.39;19.0;101.0;1;3;168.64999999999998;55.39;19.0;101.0;1;3;
87.52;24.07;82.0;112.0;1;4;75.49;30.509999999999998;314.0;41.0;1;2;87.52;24.07;82.0;112.0;2;5;50.36;45.61;324.0;172.0;2;4;87.52;24.07;82.0;112.0;2;5;52.25;33.95;432.0;83.0;3;4;52.25;33.95;432.0;83.0;3;4;87.52;24.07;82.0;112.0;2;5;87.52;24.07;82.0;112.0;2;5;
52.25;33.95;432.0;83.0;2;5;50.36;45.61;324.0;172.0;2;4;52.25;33.95;432.0;83.0;3;4;38.940000000000005;25.970000000000006;372.0;98.0;3;5;52.25;33.95;432.0;83.0;3;4;75.49;30.509999999999998;314.0;41.0;1;2;75.49;30.509999999999998;314.0;41.0;1;2;52.25;33.95;432.0;83.0;3;4;75.49;30.509999999999998;314.0;41.0;1;2;
75.49;30.509999999999998;314.0;41.0;5;4;91.42999999999999;30.670000000000005;148.0;120.0;1;4;75.49;30.509999999999998;314.0;41.0;1;2;42.09;64.17;475.0;290.0;3;5;50.36;45.61;324.0;172.0;2;4;50.36;45.61;324.0;172.0;2;4;50.36;45.61;324.0;172.0;2;4;75.49;30.509999999999998;314.0;41.0;1;2;50.36;45.61;324.0;172.0;2;4;
50.36;45.61;324.0;172.0;2;5;38.940000000000005;25.970000000000006;372.0;98.0;3;5;50.36;45.61;324.0;172.0;2;4;51.82000000000001;39.67999999999999;197.0;174.0;4;4;91.42999999999999;30.670000000000005;148.0;120.0;1;4;91.42999999999999;30.670000000000005;148.0;120.0;1;4;91.42999999999999;30.670000000000005;148.0;120.0;1;4;91.42999999999999;30.670000000000005;148.0;120.0;1;4;91.42999999999999;30.670000000000005;148.0;120.0;1;4;
91.42999999999999;30.670000000000005;148.0;120.0;1;5;42.09;64.17;475.0;290.0;3;5;91.42999999999999;30.670000000000005;148.0;120.0;1;4;36.79;48.419999999999995;347.0;652.0;1;3;38.940000000000005;25.970000000000006;372.0;98.0;3;5;38.940000000000005;25.970000000000006;372.0;98.0;3;5;38.940000000000005;25.970000000000006;372.0;98.0;3;5;38.940000000000005;25.970000000000006;372.0;98.0;3;5;38.940000000000005;25.970000000000006;372.0;98.0;3;5;
38.940000000000005;25.970000000000006;372.0;98.0;4;5;36.79;48.419999999999995;347.0;652.0;1;3;51.82000000000001;39.67999999999999;197.0;174.0;4;4;19.82;35.120000000000005;156.0;99.0;1;5;42.09;64.17;475.0;290.0;3;5;42.09;64.17;475.0;290.0;3;5;42.09;64.17;475.0;290.0;3;5;42.09;64.17;475.0;290.0;3;5;42.09;64.17;475.0;290.0;3;5;
42.09;64.17;475.0;290.0;1;1;19.82;35.120000000000005;156.0;99.0;1;5;36.79;48.419999999999995;347.0;652.0;1;3;45.510000000000005;27.980000000000004;415.0;58.0;5;5;51.82000000000001;39.67999999999999;197.0;174.0;4;4;51.82000000000001;39.67999999999999;197.0;174.0;4;4;51.82000000000001;39.67999999999999;197.0;174.0;4;4;51.82000000000001;39.67999999999999;197.0;174.0;4;4;51.82000000000001;39.67999999999999;197.0;174.0;4;4;
51.82000000000001;39.67999999999999;197.0;174.0;4;5;45.510000000000005;27.980000000000004;415.0;58.0;5;5;19.82;35.120000000000005;156.0;99.0;1;5;21.259999999999998;24.290000000000003;67.0;95.0;2;5;36.79;48.419999999999995;347.0;652.0;1;3;36.79;48.419999999999995;347.0;652.0;1;3;19.82;35.120000000000005;156.0;99.0;1;5;36.79;48.419999999999995;347.0;652.0;1;3;36.79;48.419999999999995;347.0;652.0;1;3;
36.79;48.419999999999995;347.0;652.0;2;3;21.259999999999998;24.290000000000003;67.0;95.0;2;5;21.259999999999998;24.290000000000003;67.0;95.0;2;5;27.479999999999997;23.169999999999998;294.0;102.0;4;5;19.82;35.120000000000005;156.0;99.0;1;5;19.82;35.120000000000005;156.0;99.0;1;5;45.510000000000005;27.980000000000004;415.0;58.0;5;5;19.82;35.120000000000005;156.0;99.0;1;5;45.510000000000005;27.980000000000004;415.0;58.0;5;5;
19.82;35.120000000000005;156.0;99.0;4;4;63.02000000000001;123.72;404.0;235.0;2;2;27.479999999999997;23.169999999999998;294.0;102.0;4;5;32.940000000000005;27.310000000000002;147.0;69.0;3;5;45.510000000000005;27.980000000000004;415.0;58.0;5;5;45.510000000000005;27.980000000000004;415.0;58.0;5;5;21.259999999999998;24.290000000000003;67.0;95.0;2;5;45.510000000000005;27.980000000000004;415.0;58.0;5;5;27.479999999999997;23.169999999999998;294.0;102.0;4;5;
45.510000000000005;27.980000000000004;415.0;58.0;3;5;34.36;22.04;64.0;37.0;1;4;32.940000000000005;27.310000000000002;147.0;69.0;3;5;63.02000000000001;123.72;404.0;235.0;2;2;21.259999999999998;24.290000000000003;67.0;95.0;2;5;21.259999999999998;24.290000000000003;67.0;95.0;2;5;27.479999999999997;23.169999999999998;294.0;102.0;4;5;21.259999999999998;24.290000000000003;67.0;95.0;2;5;32.940000000000005;27.310000000000002;147.0;69.0;3;5;
21.259999999999998;24.290000000000003;67.0;95.0;3;5;74.82000000000001;23.03;473.0;57.0;5;4;63.02000000000001;123.72;404.0;235.0;2;2;45.86;55.12;200.0;130.0;1;1;27.479999999999997;23.169999999999998;294.0;102.0;4;5;27.479999999999997;23.169999999999998;294.0;102.0;4;5;32.940000000000005;27.310000000000002;147.0;69.0;3;5;27.479999999999997;23.169999999999998;294.0;102.0;4;5;63.02000000000001;123.72;404.0;235.0;2;2;
27.479999999999997;23.169999999999998;294.0;102.0;4;5;16.32;15.150000000000002;34.0;54.0;3;4;45.86;55.12;200.0;130.0;1;1;34.36;22.04;64.0;37.0;1;4;32.940000000000005;27.310000000000002;147.0;69.0;3;5;32.940000000000005;27.310000000000002;147.0;69.0;3;5;63.02000000000001;123.72;404.0;235.0;2;2;32.940000000000005;27.310000000000002;147.0;69.0;3;5;45.86;55.12;200.0;130.0;1;1;
32.940000000000005;27.310000000000002;147.0;69.0;3;5;22.48;22.639999999999997;9.0;86.0;2;5;34.36;22.04;64.0;37.0;1;4;74.82000000000001;23.03;473.0;57.0;5;4;45.86;55.12;200.0;130.0;1;1;63.02000000000001;123.72;404.0;235.0;2;2;45.86;55.12;200.0;130.0;1;1;63.02000000000001;123.72;404.0;235.0;2;2;34.36;22.04;64.0;37.0;1;4;
63.02000000000001;123.72;404.0;235.0;1;3;27.569999999999997;20.6;110.0;58.0;3;5;16.32;15.150000000000002;34.0;54.0;3;4;22.48;22.639999999999997;9.0;86.0;2;5;34.36;22.04;64.0;37.0;1;4;45.86;55.12;200.0;130.0;1;1;34.36;22.04;64.0;37.0;1;4;45.86;55.12;200.0;130.0;1;1;74.82000000000001;23.03;473.0;57.0;5;4;
45.86;55.12;200.0;130.0;3;4;28.22;21.110000000000003;51.0;39.0;5;4;27.569999999999997;20.6;110.0;58.0;3;5;27.569999999999997;20.6;110.0;58.0;3;5;74.82000000000001;23.03;473.0;57.0;5;4;74.82000000000001;23.03;473.0;57.0;5;4;74.82000000000001;23.03;473.0;57.0;5;4;34.36;22.04;64.0;37.0;1;4;16.32;15.150000000000002;34.0;54.0;3;4;
34.36;22.04;64.0;37.0;3;4;38.97;18.7;291.0;76.0;4;5;28.22;21.110000000000003;51.0;39.0;5;4;28.22;21.110000000000003;51.0;39.0;5;4;16.32;15.150000000000002;34.0;54.0;3;4;16.32;15.150000000000002;34.0;54.0;3;4;16.32;15.150000000000002;34.0;54.0;3;4;74.82000000000001;23.03;473.0;57.0;5;4;22.48;22.639999999999997;9.0;86.0;2;5;
74.82000000000001;23.03;473.0;57.0;1;1;47.080000000000005;29.15;182.0;71.0;2;5;38.97;18.7;291.0;76.0;4;5;38.97;18.7;291.0;76.0;4;5;22.48;22.639999999999997;9.0;86.0;2;5;22.48;22.639999999999997;9.0;86.0;2;5;22.48;22.639999999999997;9.0;86.0;2;5;16.32;15.150000000000002;34.0;54.0;3;4;28.22;21.110000000000003;51.0;39.0;5;4;
16.32;15.150000000000002;34.0;54.0;2;4;17.79;16.29;95.0;46.0;4;5;47.080000000000005;29.15;182.0;71.0;2;5;17.79;16.29;95.0;46.0;4;5;27.569999999999997;20.6;110.0;58.0;3;5;27.569999999999997;20.6;110.0;58.0;3;5;27.569999999999997;20.6;110.0;58.0;3;5;22.48;22.639999999999997;9.0;86.0;2;5;38.97;18.7;291.0;76.0;4;5;
22.48;22.639999999999997;9.0;86.0;5;5;67.39999999999999;23.010000000000005;113.0;63.0;3;4;17.79;16.29;95.0;46.0;4;5;67.39999999999999;23.010000000000005;113.0;63.0;3;4;38.97;18.7;291.0;76.0;4;5;28.22;21.110000000000003;51.0;39.0;5;4;28.22;21.110000000000003;51.0;39.0;5;4;27.569999999999997;20.6;110.0;58.0;3;5;47.080000000000005;29.15;182.0;71.0;2;5;
27.569999999999997;20.6;110.0;58.0;1;4;;;;;;;67.39999999999999;23.010000000000005;113.0;63.0;3;4;;;;;;;47.080000000000005;29.15;182.0;71.0;2;5;47.080000000000005;29.15;182.0;71.0;2;5;38.97;18.7;291.0;76.0;4;5;28.22;21.110000000000003;51.0;39.0;5;4;17.79;16.29;95.0;46.0;4;5;
28.22;21.110000000000003;51.0;39.0;3;4;;;;;;;;;;;;;;;;;;;17.79;16.29;95.0;46.0;4;5;67.39999999999999;23.010000000000005;113.0;63.0;3;4;47.080000000000005;29.15;182.0;71.0;2;5;38.97;18.7;291.0;76.0;4;5;67.39999999999999;23.010000000000005;113.0;63.0;3;4;
38.97;18.7;291.0;76.0;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.79;16.29;95.0;46.0;4;5;47.080000000000005;29.15;182.0;71.0;2;5;;;;;;;
47.080000000000005;29.15;182.0;71.0;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.39999999999999;23.010000000000005;113.0;63.0;3;4;17.79;16.29;95.0;46.0;4;5;;;;;;;
17.79;16.29;95.0;46.0;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.39999999999999;23.010000000000005;113.0;63.0;3;4;;;;;;;
67.39999999999999;23.010000000000005;113.0;63.0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;